3,4,29
3,3,16
1,3,23
3,1,21
1,1,31
1,2,12
3,4,21
1,4,21
4,3,29
1,4,27
4,1,16
2,4,14
4,2,20
4,3,8
1,1,30
2,4,30
1,4,10
1,4,8
3,4,20
3,3,16
3,2,24
2,3,11
3,2,4
1,1,15
1,2,30
4,3,2
3,4,8
3,3,32
2,2,16
4,1,27
1,4,21
3,2,27
4,1,28
4,3,14
1,1,7
3,2,3
2,1,15
4,1,29
2,4,3
2,2,29
2,2,4
3,4,9
4,3,23
2,1,3
2,3,18
4,1,3
4,3,17
4,4,7
4,2,10
1,2,15
3,2,5
2,2,2
1,4,16
1,2,19
3,4,25
3,2,30
2,2,5
1,4,21
2,2,12
4,4,27
1,4,28
2,1,2
1,1,7
3,3,7
2,3,15
3,1,5
4,1,12
4,1,17
1,1,17
4,3,14
4,2,5
4,3,25
4,2,18
3,4,7
1,3,25
1,3,26
2,2,12
2,2,31
2,2,26
1,4,6
2,4,18
1,1,1
2,2,20
1,4,28
3,4,10
2,1,22
3,4,31
1,3,8
2,4,5
1,2,3
1,3,27
1,3,8
2,2,12
2,1,13
1,2,18
2,4,8
1,2,21
3,1,4
3,1,4
4,3,5
